lat,long,city,country,temp,prcp,wind,cloud,temp_anom,prcp_pct_of_norm,wind_anom,cloud_anom
88.5,1.5,--,--,-23.587214156318964,0.0003111215035583523,5.030106756906102,0.9266688555453062,1.294989723136041,62.51861860277694,-1.580189036226403,0.0024917114435484278
88.5,4.5,--,--,-23.608493971299623,0.00030751609343354636,5.031903896169553,0.9262605507324122,1.2579449223462404,61.53353211845751,-1.5866459548956922,0.0024986043288299786
88.5,7.5,--,--,-23.62559748034556,0.0003035653764235577,5.034157356028981,0.927412046583825,1.223373937329768,60.443024556559834,-1.5946320019775486,0.004220907823780262
88.5,10.5,--,--,-23.641380958087893,0.00029878186045514954,5.035086079004053,0.9285084520090041,1.187258431246537,59.16841877795287,-1.605817439323709,0.005836269749828538
88.5,13.5,--,--,-23.653579868066117,0.0002942217783536427,5.031785293019056,0.9291459118064052,1.1555257508948102,57.92695813564523,-1.6179645637794708,0.006372916711767318
88.5,16.5,--,--,-23.67132063360347,0.00028998669096760854,5.027435170685602,0.9291119040625184,1.1242422100547813,56.74126807884463,-1.6315520552494611,0.006043711747852565
88.5,19.5,--,--,-23.69244113446129,0.00028613753480619813,5.019575199186614,0.9277133488380727,1.0972504934244434,55.64586451406468,-1.6474618773735372,0.0044613514815954325
88.5,22.5,--,--,-23.707769428995476,0.0002812219897346327,5.010874954519705,0.9249899748058327,1.0691894564690472,54.473715739352514,-1.6642524390376954,0.0011468447513243163
88.5,25.5,--,--,-23.7209697420316,0.0002762353520690611,5.001270109552401,0.9224722363838227,1.0403752013490681,53.33330127228078,-1.6824304564305201,-0.0019543258788324858
88.5,28.5,--,--,-23.740474342500505,0.00027176667473127747,4.9911064226217405,0.9215450221330577,1.015717248834168,52.3530899140548,-1.6999078811022637,-0.0031901107692139385
88.5,31.5,--,--,-23.765554937269172,0.00026886203446171986,4.98164430347961,0.918691549940404,0.9950303211384153,51.77149839061114,-1.717435575769894,-0.006499356589999783
88.5,34.5,--,--,-23.795084947897408,0.00026546990211894633,4.973104876643881,0.9149675430701296,0.9767165252059158,51.18619542278448,-1.7346009039403256,-0.010770207744464133
88.5,37.5,--,--,-23.82142867606865,0.0002619051163335745,4.963894035362971,0.9127497296417115,0.9561059620905645,50.66234867988285,-1.7503680188373894,-0.013703308374797052
88.5,40.5,--,--,-23.84481371338697,0.0002587567300274124,4.953026770420894,0.9104266087446851,0.9359074601375994,50.23809400932188,-1.765548883639954,-0.016745436022292504
88.5,43.5,--,--,-23.87199953049327,0.0002549583542902911,4.94109207712435,0.9084150665852615,0.9189045075098079,49.69031963625595,-1.7802809501608516,-0.019209721066581698
88.5,46.5,--,--,-23.8992194863402,0.00024982953143670716,4.9303916606821225,0.9063986510419788,0.8999326759507689,48.93001402648867,-1.7946899905930982,-0.021765958612453118
88.5,49.5,--,--,-23.93020608323448,0.0002428624572236998,4.918949471993572,0.9055829949043371,0.8825781812934679,47.86012523447022,-1.8091224350000568,-0.02315558736562162
88.5,52.5,--,--,-23.97039876051346,0.00023729692272118907,4.904596480560639,0.906865860233692,0.8628360935591104,47.06067410432727,-1.825016033878022,-0.022198993205613804
88.5,55.5,--,--,-24.02199377715641,0.00023231028505561746,4.88383087810935,0.9075291701541719,0.8403409498899599,46.39796612390264,-1.8437405009761845,-0.02143163129865111
88.5,58.5,--,--,-24.080575856044362,0.00022972048341667745,4.857460774241392,0.9084707926702595,0.816780307656785,46.19251140289259,-1.8653065756354597,-0.020095853202847902
88.5,61.5,--,--,-24.136893398471784,0.00022757754951150538,4.83148065361405,0.9104429239863006,0.7900356649234332,46.11639433869881,-1.8866920679068624,-0.017513878411289818
88.5,64.5,--,--,-24.194371658079973,0.00022515024523030863,4.804664280264564,0.9124842361645158,0.7554555528596154,46.00398152044006,-1.9090086672308804,-0.014799292621383797
88.5,67.5,--,--,-24.26547127519183,0.0002235557399075036,4.776484975795817,0.9119858796933551,0.7121252434320446,45.9904808284139,-1.932768841888202,-0.014659059476347935
88.5,70.5,--,--,-24.346141119254867,0.00022238779014876336,4.747885534743109,0.909128275718734,0.6629963338382936,46.044071444834714,-1.956808494616622,-0.016815113499128342
88.5,73.5,--,--,-24.431294517918104,0.00021986908110382952,4.717838733209768,0.902673690683558,0.6091191370935896,45.786161216413994,-1.9821281602616443,-0.02260280785161428
88.5,76.5,--,--,-24.514979950735096,0.00021612148579100432,4.6868089326833315,0.8943632998861963,0.5506060343619197,45.242252183799074,-2.0092838646808735,-0.030401031295610448
88.5,79.5,--,--,-24.59278214058685,0.00021098250685255837,4.6582496960884185,0.8849247207254438,0.4900873882023653,44.40529713276738,-2.0348008379739024,-0.03954582970259379
88.5,82.5,--,--,-24.67122158692999,0.00020644273692076165,4.627197783110195,0.8722166307108453,0.4332049672945608,43.68377201403907,-2.0609683660596803,-0.05181677209051028
88.5,85.5,--,--,-24.749239988805613,0.00020216702519528645,4.596373025318514,0.861167398184647,0.38176295249883196,43.018303840681504,-2.086773490388853,-0.06254043284965383
88.5,88.5,--,--,-24.816470548648255,0.00019844989813704722,4.569496345282337,0.8514249741345898,0.33984845789942497,42.42831297273231,-2.110435582411742,-0.07236993601743436
88.5,91.5,--,--,-24.86798590822977,0.00019460074197563682,4.5411783354341955,0.8436005444624863,0.3100586268338681,41.7693553029656,-2.1344402087971073,-0.08047680058389928
88.5,94.5,--,--,-24.91235489144347,0.0001902742498258725,4.510974736515453,0.8386449487365055,0.28794260707999797,40.993740329356484,-2.1599390329244503,-0.08562150338624008
