,lat,long,temp,prcp,wind,cloud
0,88.5,1.5,-25.358629083536016,0.00044095197421105403,6.413073731492188,0.9222312938899306
1,88.5,4.5,-25.348568434544887,0.0004410993154595061,6.418966746120745,0.9218715149925809
2,88.5,7.5,-25.340002793608704,0.00044160682420420205,6.424327855172952,0.9215665755931484
3,88.5,10.5,-25.331520795165545,0.0004425028772781364,6.429952103843077,0.9211847655235919
4,88.5,13.5,-25.326453115770164,0.00044356482568366773,6.43163596657352,0.9206255086148813
5,88.5,16.5,-25.32727817181788,0.000444768112546054,6.432525289037692,0.919824149010664
6,88.5,19.5,-25.335367943813168,0.00044578913282702914,6.431805405982097,0.9185756911926068
7,88.5,22.5,-25.33742124520748,0.0004461760400312903,6.429735417600691,0.9175187530355846
8,88.5,25.5,-25.33610448498962,0.00044676485931680054,6.42743943787528,0.9168296404346081
9,88.5,28.5,-25.34569291932351,0.0004471441266044873,6.423004222500589,0.9158867684332535
10,88.5,31.5,-25.361991430549324,0.0004474513603929253,6.418968188772158,0.9149329073383067
11,88.5,34.5,-25.381903622299006,0.00044773130876500644,6.41564042475544,0.9141664507343419
12,88.5,37.5,-25.393265602310265,0.00044760470443300227,6.411395711499972,0.9133147588914243
13,88.5,40.5,-25.400669587069046,0.00044756268489176687,6.405716569943543,0.9129177774438612
14,88.5,43.5,-25.41211196132116,0.000447947409262725,6.3990919867829374,0.9134608809854878
15,88.5,46.5,-25.418327491822254,0.00044805709663657545,6.393909405843214,0.914155027163568
16,88.5,49.5,-25.427263839535783,0.00044769038064042255,6.38848179056082,0.9148171103385823
17,88.5,52.5,-25.440168333289762,0.00044722216289533323,6.382339485767922,0.9155013483175218
18,88.5,55.5,-25.460445141343996,0.0004461689458230417,6.3734401298576895,0.9157601978123602
19,88.5,58.5,-25.487288697163734,0.00044493346216932517,6.362945417881265,0.9157745956090437
20,88.5,61.5,-25.51049339850536,0.0004431686414378272,6.352642434277764,0.9157570187110318
21,88.5,64.5,-25.529173690624788,0.0004411697118337915,6.342000716122251,0.9158961467821727
22,88.5,67.5,-25.553925372055858,0.0004393830627691664,6.330461091726652,0.9158561360257857
23,88.5,70.5,-25.58352588189325,0.00043740432437325283,6.317773477468347,0.9156355664432776
24,88.5,73.5,-25.61530515686451,0.0004352324052293577,6.304508441981581,0.915144999317272
25,88.5,76.5,-25.642820288817546,0.0004331914560840727,6.292282331910622,0.9146739024207364
26,88.5,79.5,-25.66363590069824,0.00043102881398175696,6.28223231723257,0.914492792550385
27,88.5,82.5,-25.689459505340892,0.0004288716289626848,6.271355591161712,0.9145487765247804
28,88.5,85.5,-25.72046569629893,0.00042637228482222955,6.260648737294856,0.9146716381941236
29,88.5,88.5,-25.74944903822663,0.0004242500251361303,6.252138392338415,0.9150441688201356
30,88.5,91.5,-25.77341545469892,0.0004225026670711257,6.242809775499942,0.9154894266875397
31,88.5,94.5,-25.796601072559127,0.0004206106962992978,6.2342531935656815,0.9158104417426903
32,88.5,97.5,-25.825887314000397,0.0004186810716528405,6.224290964226172,0.9162022059317398
33,88.5,100.5,-25.852470603616126,0.00041654025788362414,6.213783412652162,0.9166957826070029
34,88.5,103.5,-25.876508075604335,0.00041398088582711434,6.20370064978701,0.9174776861110896
35,88.5,106.5,-25.90431636231449,0.0004112217845227001,6.193381292089961,0.9181420476420561
36,88.5,109.5,-25.933792626506914,0.0004079655429318346,6.183279774756426,0.9186254158697198
37,88.5,112.5,-25.968088078804755,0.0004049881582963849,6.172106367422277,0.9182838320289737
38,88.5,115.5,-26.002170770586332,0.0004022634366166178,6.159812813397711,0.9173873925686897
39,88.5,118.5,-26.03163932017989,0.0003997684581427685,6.148414136045263,0.9164270178483542
40,88.5,121.5,-26.06181030430224,0.00039695478600559886,6.137280545890139,0.9155201085476949
41,88.5,124.5,-26.098673499929646,0.0003938720796629186,6.125389058814661,0.9143882990220511
42,88.5,127.5,-26.131550684129706,0.0003908379413613827,6.11588256305684,0.9128800273817523
43,88.5,130.5,-26.16979113867137,0.00038807993147361997,6.105499079504436,0.911247933277042
44,88.5,133.5,-26.20718542352631,0.000386069541994688,6.095359259775861,0.9096499191385737
45,88.5,136.5,-26.2396720054046,0.0003839189054755804,6.085611408436473,0.9082666038421603
46,88.5,139.5,-26.274793325813192,0.00038184848808062166,6.076291158976202,0.9072415485391283
47,88.5,142.5,-26.30714429316393,0.00038037889555435356,6.068650804954985,0.906536950182347
48,88.5,145.5,-26.33568668486143,0.0003791756086919673,6.062783758051881,0.9057527718546431
49,88.5,148.5,-26.364969678050556,0.00037747627295978137,6.057399855107333,0.9047385502224718
50,88.5,151.5,-26.38965883062761,0.0003762216895145942,6.050984240004046,0.9039861487787139
51,88.5,154.5,-26.4129954922131,0.00037537638731512113,6.043838354754985,0.9030961452324527
52,88.5,157.5,-26.43269248725744,0.00037512045010948403,6.038140314465033,0.9020957915467437
53,88.5,160.5,-26.44947904836971,0.0003749687431943982,6.0342987501472125,0.9012086244653346
54,88.5,163.5,-26.46934657665227,0.0003744279462417205,6.0310013539427585,0.9003690626601528
55,88.5,166.5,-26.489102040235423,0.000373836944122935,6.028333602947954,0.8994706910127279
56,88.5,169.5,-26.500122547738727,0.00037313188896365146,6.027345603127063,0.8985751770241641
57,88.5,172.5,-26.513583304674484,0.0003718789426434693,6.028460195609535,0.8977631427041525
58,88.5,175.5,-26.522631717087393,0.0003709086732369554,6.030173416296253,0.8974820041766661
59,88.5,178.5,-26.528640983576565,0.0003704590095749971,6.030963989271136,0.8979966688907418
